behold,"տեսնել, նայել (բարձր ոճ)"
(work) My boss pushed me to finish the report by Friday.,(աշխատանք) Ղեկավարս ինձ ստիպեց հաշվետվությունն ավարտել ուրբաթ օրվա մեջ։
(programming) I pushed my changes to GitHub this morning.,(ծրագրավորում) Այս առավոտ ես իմ փոփոխությունները ուղարկեցի GitHub։
accomplish,"կատարել, իրականացնել, հասնել (նպատակի), կարողանալ անել"
(work) We accomplished all our goals this quarter.,(աշխատանք) Այս եռամսյակում մենք իրականացրինք մեր բոլոր նպատակները։
(school) She accomplished a lot during her first year at university.,(դպրոց) Համալսարանի առաջին տարում նա շատ բան կարողացավ անել։
(everyday) I didn't accomplish anything today.,(առօրյա) Այսօր ես ոչինչ չարեցի։
(sport) It takes years of training to accomplish something like that.,(սպորտ) Նման բանի հասնելու համար տարիների մարզում է պետք։
sample,"նմուշ, օրինակ; (բայ) նմուշ վերցնել, փորձել"
(shopping) The store gave me a free sample of the new cheese.,(գնումներ) Խանութն ինձ անվճար նմուշ տվեց նոր պանրից։
(science) The doctor took a blood sample for the test.,(գիտություն) Բժիշկը անալիզի համար արյան նմուշ վերցրեց։
(work) Could you send me a sample of your work?,(աշխատանք) Կարո՞ղ եք ինձ ուղարկել ձեր աշխատանքի օրինակ։
(survey) We surveyed a sample of 500 students.,(հարցում) Մենք հարցում անցկացրինք 500 ուսանողից բաղկացած նմուշի շրջանում։
affect,"ազդել, ազդեցություն ունենալ; (զգացմունքների մասին) հուզել, ազդել"
(health) Lack of sleep affects your memory.,(առողջություն) Քնի պակասը ազդում է հիշողության վրա։
(weather) The storm affected thousands of people.,(եղանակ) Փոթորիկը ազդեց հազարավոր մարդկանց վրա։
(work) The new law will affect all small businesses.,(աշխատանք) Նոր օրենքը կազդի բոլոր փոքր բիզնեսների վրա։
(feelings) His words affected her deeply.,(զգացմունքներ) Նրա խոսքերը խորապես հուզեցին նրան։
effect,"ազդեցություն, հետևանք, էֆեկտ; (բայ, պաշտոնական) իրականացնել, առաջացնել"
(health) The medicine had a strong effect on his headache.,(առողջություն) Դեղը ուժեղ ազդեցություն ունեցավ նրա գլխացավի վրա։
(environment) Climate change has a serious effect on farming.,(շրջակա միջավայր) Կլիմայի փոփոխությունը լուրջ ազդեցություն ունի գյուղատնտեսության վրա։
(movies) The special effects in this film are amazing.,(կինո) Այս ֆիլմի հատուկ էֆեկտները զարմանալի են։
(law) The new rule goes into effect on January 1.,(օրենք) Նոր կանոնը ուժի մեջ է մտնում հունվարի 1-ին։
loose,"ազատ, չամրացված, թուլացած; (հագուստ) լայն; (բայ, հազվադեպ) ազատ արձակել"
"(clothes) These jeans are too loose, I need a smaller size.","(հագուստ) Այս ջինսերը շատ լայն են, ինձ ավելի փոքր չափս է պետք։"
"(repair) The screw is loose, so the shelf is shaking.","(վերանորոգում) Պտուտակը թուլացած է, դրա համար դարակը դողում է։"
(animals) The dog got loose and ran into the street.,(կենդանիներ) Շունը ազատվեց կապից և վազեց փողոց։
(everyday) I keep loose change in my pocket.,(առօրյա) Ես գրպանումս մանր դրամ եմ պահում։
reveal,"բացահայտել, ցույց տալ, հայտնել"
(secret) She didn't reveal the name of the winner.,(գաղտնիք) Նա չբացահայտեց հաղթողի անունը։
(presentation) The company will reveal its new phone next week.,(ներկայացում) Ընկերությունը հաջորդ շաբաթ կներկայացնի իր նոր հեռախոսը։
(research) The test results revealed a serious problem.,(հետազոտություն) Թեստի արդյունքները բացահայտեցին լուրջ խնդիր։
(friends) He finally revealed why he was late.,"(ընկերներ) Նա վերջապես հայտնեց, թե ինչու էր ուշացել։"
exploded,"պայթեց, պայթել է (explode-ի անցյալ ժամանակ); կտրուկ աճեց; կատաղությունից պայթեց"
"(news) The bomb exploded near the old building, but no one was hurt.","(լուրեր) Ռումբը պայթեց հին շենքի մոտ, բայց ոչ ոք չտուժեց։"
(everyday) The battery exploded while I was charging my phone.,"(առօրյա) Մարտկոցը պայթեց, մինչ ես հեռախոսս լիցքավորում էի։"
(business) Sales exploded after the ad went viral.,"(բիզնես) Վաճառքները կտրուկ աճեցին, երբ գովազդը հայտնի դարձավ։"
(emotions) He exploded with anger when he saw the mess.,"(հույզեր) Նա զայրույթից պայթեց, երբ տեսավ խառնաշփոթը։"
toppled over,"ընկավ, տապալվեց, շրջվեց (topple over-ի անցյալ ժամանակ)"
(everyday) The pile of books toppled over when I opened the door.,"(առօրյա) Գրքերի կույտը տապալվեց, երբ ես դուռը բացեցի։"
(storm) The strong wind toppled over an old tree in our yard.,(փոթորիկ) Ուժեղ քամին մեր բակի հին ծառը տապալեց։
"(kids) The tower of blocks toppled over, and the baby laughed.","(երեխաներ) Խորանարդիկների աշտարակը փլվեց, և երեխան ծիծաղեց։"
(sport) The wrestler toppled over after a powerful push.,(սպորտ) Ըմբիշը ընկավ հզոր հրումից հետո։
manifest,"դրսևորվել, երևալ, ի հայտ գալ; ակնհայտ; (գոյական) բեռնագիր, ուղևորների ցուցակ"
(health) The disease first manifested as a mild cough.,(առողջություն) Հիվանդությունն առաջին անգամ դրսևորվեց թեթև հազով։
(emotions) His fear manifested itself in anger.,(հույզեր) Նրա վախը դրսևորվեց զայրույթի տեսքով։
(formal) There was a manifest error in the report.,(պաշտոնական) Հաշվետվության մեջ ակնհայտ սխալ կար։
(shipping) The cargo manifest lists every item on the ship.,(բեռնափոխադրում) Բեռնագիրը թվարկում է նավի վրա գտնվող յուրաքանչյուր ապրանք։
(self-help) She believes that positive thinking can help you manifest your goals.,"(անձնային զարգացում) Նա հավատում է, որ դրական մտածելը կարող է օգնել քեզ իրականացնել քո նպատակները։"
shape,"ձև, տեսք, կերպարանք; (վիճակ) մարզավիճակ, վիճակ; (բայ) ձևավորել, ձև տալ"
"(everyday) What shape is the table, round or square?","(առօրյա) Ինչ ձև ունի սեղանը՝ կլո՞ր, թե՞ քառակուսի։"
(fitness) I'm trying to get in shape before summer.,(մարզում) Ես փորձում եմ ամառից առաջ մարզավիճակս բարելավել։
(work) Good teachers shape the way children think.,(աշխատանք) Լավ ուսուցիչները ձևավորում են երեխաների մտածելակերպը։
(cooking) She shaped the dough into small balls.,(խոհարարություն) Նա խմորից փոքր գնդիկներ ձևավորեց։
"(condition) The car is in bad shape, so we need to repair it.","(վիճակ) Մեքենան վատ վիճակում է, ուստի պետք է վերանորոգենք այն։"
contribute to,"ներդրում ունենալ, նպաստել, մասնակցել (ինչ-որ բանի); ավանդ ունենալ; նվիրաբերել"
(health) Too much sugar contributes to health problems.,(առողջություն) Շատ շաքարը նպաստում է առողջական խնդիրներին։
(work) Everyone on the team contributed to the success of the project.,(աշխատանք) Թիմի յուրաքանչյուր անդամ ներդրում ունեցավ նախագծի հաջողության մեջ։
(charity) I contribute to a local charity every month.,(բարեգործություն) Ես ամեն ամիս նվիրաբերում եմ տեղական բարեգործական կազմակերպությանը։
(programming) She contributes to several open-source projects on GitHub.,(ծրագրավորում) Նա ներդրում ունի GitHub-ի մի քանի բաց կոդով նախագծերում։
(environment) Cars and factories contribute to air pollution.,(շրջակա միջավայր) Մեքենաներն ու գործարանները նպաստում են օդի աղտոտմանը։
looking forward to,"անհամբերությամբ սպասել, ուրախությամբ սպասել (ինչ-որ բանի)"
(everyday) I'm looking forward to the weekend.,(առօրյա) Ես անհամբերությամբ սպասում եմ հանգստյան օրերին։
(email) I look forward to hearing from you.,(նամակ) Սպասում եմ ձեր պատասխանին։
(work) We are looking forward to working with your team.,(աշխատանք) Մենք անհամբերությամբ սպասում ենք ձեր թիմի հետ համագործակցությանը։
(friends) I'm really looking forward to seeing you again.,(ընկերներ) Ես իսկապես անհամբերությամբ սպասում եմ քեզ նորից տեսնելուն։
(travel) The kids are looking forward to the trip to the sea.,(ճանապարհորդություն) Երեխաները անհամբերությամբ սպասում են ծովափ մեկնելուն։
hang,"կախել, կախվել; (խոսակցական) ժամանակ անցկացնել (hang out); (համակարգիչ) կախվել"
(home) I need to hang this picture on the wall.,(տուն) Ես պետք է այս նկարը պատին կախեմ։
(clothes) Please hang your coat in the closet.,"(հագուստ) Խնդրում եմ, վերարկուդ պահարանում կախիր։"
(friends) We usually hang out at the park after school.,(ընկերներ) Մենք սովորաբար դպրոցից հետո զբոսայգում ժամանակ ենք անցկացնում։
(computer) My laptop hangs every time I open this program.,"(համակարգիչ) Իմ նոութբուքը կախվում է ամեն անգամ, երբ այս ծրագիրը բացում եմ։"
"(phone) Don't hang up, I need to tell you something.","(հեռախոս) Մի՛ անջատիր, պետք է քեզ մի բան ասեմ։"
powers of,"ուժեր, կարողություններ, լիազորություններ; (մաթեմատիկա) աստիճաններ (օր.՝ երկուսի աստիճաններ)"
(math) 8 and 16 are powers of 2.,(մաթեմատիկա) 8-ը և 16-ը 2-ի աստիճաններ են։
(programming) Memory sizes are usually powers of two.,(ծրագրավորում) Հիշողության չափերը սովորաբար երկուսի աստիճաններ են։
(politics) The powers of the president are limited by the constitution.,(քաղաքականություն) Նախագահի լիազորությունները սահմանափակված են սահմանադրությամբ։
(fantasy) The hero discovers the powers of the ancient stone.,(ֆանտազիա) Հերոսը բացահայտում է հին քարի ուժերը։
(everyday) He was in full possession of his powers of concentration.,(առօրյա) Նա լիովին տիրապետում էր իր կենտրոնանալու ունակությանը։
unless,"եթե ... չէ, եթե չ- (պայման), բացառությամբ այն դեպքի, երբ"
(everyday) I will go for a walk unless it rains.,"(առօրյա) Ես զբոսնելու կգնամ, եթե անձրև չգա։"
(work) You can't enter the office unless you have a badge.,"(աշխատանք) Դուք չեք կարող մտնել գրասենյակ, եթե բեյջ չունեք։"
"(school) Unless you study, you won't pass the exam.","(դպրոց) Եթե չսովորես, քննությունը չես հանձնի։"
(friends) Don't call me unless it's urgent.,"(ընկերներ) Ինձ մի՛ զանգիր, եթե հրատապ չէ։"
(programming) The program will crash unless you handle this error.,"(ծրագրավորում) Ծրագիրը կխափանվի, եթե այս սխալը չմշակես։"
exhausting,"հյուծող, հոգնեցուցիչ, ուժասպառ անող; (exhaust-ի -ing ձև) սպառող, սպառելը"
"(work) It was an exhausting day, and I fell asleep immediately.","(աշխատանք) Դա հյուծող օր էր, և ես անմիջապես քնեցի։"
(sport) Running a marathon is exhausting.,(սպորտ) Մարաթոն վազելը հյուծող է։
(parenting) Taking care of a newborn baby can be exhausting.,(ծնողություն) Նորածնի խնամելը կարող է հոգնեցուցիչ լինել։
(travel) The long flight was exhausting.,(ճանապարհորդություն) Երկար չվերթը հոգնեցուցիչ էր։
(programming) Debugging this code is mentally exhausting.,(ծրագրավորում) Այս կոդի սխալները փնտրելը մտավոր առումով հյուծող է։
decline,"մերժել (քաղաքավարի), հրաժարվել; նվազել, անկում ապրել; (գոյական) անկում, նվազում"
(invitation) I had to decline the invitation because I was busy.,"(հրավեր) Ես ստիպված եղա հրաժարվել հրավերից, քանի որ զբաղված էի։"
(work) She declined the job offer and stayed at her current company.,(աշխատանք) Նա մերժեց աշխատանքային առաջարկը և մնաց իր ընթացիկ ընկերությունում։
(business) Sales have declined over the last three months.,(բիզնես) Վաճառքները նվազել են վերջին երեք ամսվա ընթացքում։
(health) His health began to decline after the age of 80.,(առողջություն) Նրա առողջությունը սկսեց վատանալ 80 տարեկանից հետո։
(statistics) There has been a sharp decline in the number of tourists.,(վիճակագրություն) Զբոսաշրջիկների թվի կտրուկ նվազում է գրանցվել։
thorn,"փուշ, փշոտ բույս; (փոխաբերական) նեղություն պատճառող բան, «փուշ մարմնում»"
"(garden) The rose has sharp thorns, so wear gloves.","(այգի) Վարդն ունի սուր փշեր, ուստի ձեռնոցներ հագիր։"
(everyday) A thorn got stuck in my finger while I was picking berries.,"(առօրյա) Փուշը մատիս մեջ մխրճվեց, մինչ հատապտուղներ էի քաղում։"
(idiom) Their noisy neighbor is a thorn in their side.,(դարձվածք) Նրանց աղմկոտ հարևանը փուշ է նրանց համար։
(work) The slow approval process has been a thorn in our side for years.,(աշխատանք) Հաստատման դանդաղ գործընթացը տարիներ շարունակ մեզ համար գլխացավանք է։
(literature) There is no rose without a thorn.,(գրականություն) Փշաթափ վարդ չկա։
remain,"մնալ, մնացած լինել, շարունակել լինել (որևէ վիճակում)"
(everyday) Please remain seated until the plane stops.,(առօրյա) Խնդրում ենք նստած մնալ մինչև ինքնաթիռի կանգառը։
(news) The situation remains unclear.,(լուրեր) Իրավիճակը մնում է անհասկանալի։
(work) Only two tasks remain on the list.,(աշխատանք) Ցուցակում միայն երկու առաջադրանք է մնացել։
(friends) We remained friends even after he moved abroad.,"(ընկերներ) Մենք ընկեր մնացինք նույնիսկ այն բանից հետո, երբ նա արտերկիր տեղափոխվեց։"
(history) Only the ruins of the old castle remain today.,(պատմություն) Այսօր հին ամրոցից մնացել են միայն ավերակները։
along,"երկայնքով, ճանապարհին; հետ (along with); առաջ (move along)"
(walking) We walked along the river for an hour.,(զբոսանք) Մենք մի ժամ գետի երկայնքով քայլեցինք։
(directions) Go along this street until you see a bank.,"(ուղղություն) Գնա այս փողոցի երկայնքով, մինչև բանկ տեսնես։"
(friends) Why don't you come along with us to the cinema?,(ընկերներ) Ինչո՞ւ չես գալիս մեզ հետ կինոթատրոն։
(work) Bring your laptop along to the meeting.,(աշխատանք) Հանդիպման ժամանակ նոութբուքդ էլ վերցրու քեզ հետ։
(everyday) How is your project coming along?,(առօրյա) Ինչպե՞ս է ընթանում քո նախագիծը։
across,"մյուս կողմը, միջով, ամբողջ ... վրա; (come across) պատահաբար հանդիպել, պատահաբար գտնել"
(street) Be careful when you walk across the street.,"(փողոց) Զգույշ եղիր, երբ փողոցն անցնում ես։"
(location) The bank is across from the post office.,(վայր) Բանկը փոստի դիմաց է։
(travel) He traveled across Europe by train last summer.,(ճանապարհորդություն) Անցյալ ամառ նա գնացքով անցավ ամբողջ Եվրոպան։
(everyday) I came across my old school photos yesterday.,(առօրյա) Երեկ պատահաբար գտա դպրոցական հին նկարներս։
(programming) The same bug appears across all our servers.,(ծրագրավորում) Նույն սխալը հայտնվում է մեր բոլոր սերվերներում։
serves you right,"լավ էլ արժանի ես, քեզ հենց այդպես էլ պետք է, քո արածի պտուղն է"
"(friends) You didn't study at all, so failing the test serves you right.","(ընկերներ) Դու ընդհանրապես չէիր սովորել, ուստի քննությունից կտրվելը քեզ հենց այդպես էլ պետք է։"
"(everyday) You ate five slices of cake, so it serves you right that your stomach hurts.","(առօրյա) Դու տորթի հինգ կտոր կերար, այնպես որ փորդ ցավելը քեզ հենց այդպես էլ պետք է։"
(siblings) I told you not to touch my things. Serves you right!,(եղբայր/քույր) Ասել էի՝ իմ իրերին մի՛ դիպչիր։ Հենց էդպես էլ պետք է քեզ։
"(work) He cheated the company, and now he's fired. It serves him right.","(աշխատանք) Նա խաբեց ընկերությանը, իսկ հիմա աշխատանքից ազատվել է։ Նրան հենց այդպես էլ պետք է։"
(sport) The team didn't train and lost every match. Serves them right.,(սպորտ) Թիմը չէր մարզվում և բոլոր խաղերը պարտվեց։ Նրանց հենց այդպես էլ պետք է։
proper,"պատշաճ, ճիշտ, համապատասխան; իսկական, նորմալ; (քերականություն) հատուկ (proper noun)"
(everyday) You need a proper coat for this cold weather.,(առօրյա) Այս ցրտին քեզ իսկական վերարկու է պետք։
(work) Please follow the proper procedure when you report a problem.,"(աշխատանք) Խնդրում եմ, խնդիր զեկուցելիս հետևեք պատշաճ ընթացակարգին։"
(manners) It's not proper to talk with your mouth full.,(վարք) Անպարկեշտ է լիքը բերանով խոսելը։
"(grammar) 'Yerevan' is a proper noun, so it starts with a capital letter.","(քերականություն) «Yerevan»-ը հատուկ գոյական է, ուստի սկսվում է մեծատառով։"
(computer) The program doesn't work properly on my old laptop.,(համակարգիչ) Ծրագիրը իմ հին նոութբուքի վրա ճիշտ չի աշխատում։
arrange,"դասավորել, կարգի բերել; կազմակերպել, պայմանավորվել, կարգավորել"
(home) She arranged the flowers in a vase.,(տուն) Նա ծաղիկները դասավորեց ծաղկամանի մեջ։
(work) Can you arrange a meeting with the manager for tomorrow?,(աշխատանք) Կարո՞ղ եք վաղվա համար հանդիպում կազմակերպել ղեկավարի հետ։
(travel) We arranged a taxi to take us to the airport.,"(ճանապարհորդություն) Մենք տաքսի պատվիրեցինք, որ մեզ օդանավակայան տանի։"
(friends) I arranged to meet Anna at 6 p.m. near the cinema.,(ընկերներ) Ես Աննայի հետ պայմանավորվեցի հանդիպել երեկոյան ժամը 6-ին կինոթատրոնի մոտ։
(music) He arranged the song for guitar and piano.,(երաժշտություն) Նա երգը մշակեց կիթառի և դաշնամուրի համար։
handle,"կառավարել, հաղթահարել, զբաղվել, մշակել; (գոյական) բռնակ, կոթ"
"(door) The door handle is broken, so I can't open it.","(դուռ) Դռան բռնակը կոտրված է, ուստի չեմ կարողանում բացել։"
"(work) Don't worry, I can handle this problem by myself.","(աշխատանք) Մի՛ անհանգստացիր, այս խնդիրը ես ինքս կարող եմ լուծել։"
(stress) She can't handle so much pressure at work.,(սթրես) Նա չի կարողանում դիմանալ աշխատանքի այդքան մեծ ճնշմանը։
(careful) Please handle the glass box with care.,"(զգույշ) Խնդրում եմ, ապակե տուփին զգույշ վերաբերվեք։"
(programming) The function handles errors when the file is missing.,"(ծրագրավորում) Ֆունկցիան մշակում է սխալները, երբ ֆայլը բացակայում է։"
reply,"պատասխանել, պատասխան տալ; (գոյական) պատասխան"
(message) I'll reply to your message as soon as I get home.,"(հաղորդագրություն) Քո հաղորդագրությանը կպատասխանեմ, հենց տուն հասնեմ։"
(email) Please reply to this email by Friday.,"(նամակ) Խնդրում եմ, այս նամակին պատասխանեք ուրբաթ օրվա մեջ։"
"(conversation) When I asked her about the trip, she replied with a smile.","(զրույց) Երբ նրան ճանապարհորդության մասին հարցրի, նա ժպիտով պատասխանեց։"
(work) We're still waiting for a reply from the client.,(աշխատանք) Մենք դեռ սպասում ենք հաճախորդի պատասխանին։
"(chat) He didn't reply, so I called him.","(չատ) Նա չպատասխանեց, ուստի ես զանգահարեցի նրան։"
