tap,ծորակ
you deserve this honour,Դուք արժանի եք այս պատվին։
brought scholars,գիտնականներ բերեց
brought scholars from distant lends,հեռավոր երկրներից գիտնականներ բերեց
have done wonders for our city,հրաշալիքներ են գործել մեր քաղաքի համար
speech this year,այս տարվա ելույթը
that was he sacrifice,Դա նրա զոհողությունն էր։
compare,համեմատել
contributions,ներդրումներ
accomplish,իրականացնել
he realised nothing he could accomplish,"Նա հասկացավ, որ ոչինչ չի կարող իրագործել։"
and focused something far more important,և կենտրոնացավ շատ ավելի կարևոր մի բանի վրա
and focused something for important,և կենտրոնացավ ինչ-որ կարևոր բանի վրա
aside,մի կողմ
Stanwick set his personal ambitions aside,Սթենվիկը մի կողմ դրեց իր անձնական հավակնությունները։
Here he stands,Ահա նա կանգնած է
toppled over,"շրջվել, տապալվել"
either,կամ
"everything he built either exploded, melted or toppled over","Նրա կառուցած ամեն ինչ կա՛մ պայթում էր, կա՛մ հալվում, կա՛մ էլ տապալվում։"
I don't know much about him.,Նրա մասին շատ բան չգիտեմ։
shape,ձև
it’s shaping up,Ամեն ինչ ձևավորվում է
It's shaping up to be an amazing progress day,Առաջընթացի հիանալի օր է ստացվում։
a bicentennial,երկհարյուրամյակ
our city is about to turn 200 years old,Մեր քաղաքը շուտով կդառնա 200 տարեկան։
therefore,հետևաբար
due to,պատճառով
to doubt,կասկածել
confuse,շփոթեցնել
through,միջոցով
few,սակավաթիվ
