extinguish,մարել
junk,աղբ
brag,պարծենալ
town,քաղաք
adjustment,ճշգրտում
attempt,փորձ
exciting,հուզիչ
however,սակայն
although,չնայած
focused,կենտրոնացած
զարմանալ,to be surprised
wonder,զարմանք
responsible,պատասխանատու
dare,համարձակվել
admit,ընդունել
neither,ո՛չ մեկը
suspect,подозревать
cause,պատճառ
major,խոշոր
definitly,անպայման
shy,ամաչկոտ
responsibility,պատասխանատվություն
wierd,տարօրինակ
mat,գորգ
Your mind is violently vacillating between science and nonsense.,Քո միտքը բռնի կերպով տատանվում է գիտության և անհեթեթության միջև։
struggling,պայքարելով
your mind is a vacillating,քո միտքը տատանվում է
vilant,злодей
vilantly,դաժանորեն
grip,բռնվածք
tender,քնքուշ
villian,չարագործ
decisions,որոշումներ
decide,որոշել
fridge,սառնարան
I tend to,Ես հակված եմ
quit,դադարեցնել
ambush,засада
spot on,ճիշտ տեղում
swear,երդվել
troubleshooting,խնդիրների լուծում
definitely,անպայման
founder,հիմնադիր
employ,աշխատանքի ընդունել
obvyesly,ակնհայտորեն
ship,նավ
ship them,ուղարկել դրանք
reach,հասնել
unwell,անառողջ
sample,նմուշ
essential,էական
several,մի քանի
attached,կցված
entirely,ամբողջությամբ
reliability,հուսալիություն
ensouring,ոգեշնչող
unreliable,անվստահելի
modern,ժամանակակից
instead,փոխարենը
impact reult,ազդեցության արդյունք
ministry,ծառայություն
refusing,հրաժարվելը
expose,բացահայտել
perspective,հեռանկար
discover,հայտնաբերել
assambly plant,հավաքման գործարան
aged,ծերացած
confidence,վստահություն
placement,տեղադրում
solid,պինդ
Unbound,Անսահմանափակ
suitable,հարմար
except,բացառությամբ
query,հարցում
deal,գործարք
toss,նետել
distract,շեղել
participation,մասնակցություն
rural,գյուղական
though,չնայած
held,պահված
Held his head up higher,Գլուխն ավելի բարձր պահեց
he set his soul on fire,նա իր հոգին կրակի մեջ գցեց
his heart set ablaze,նրա սիրտը բոցավառվեց
scar,սպի
arose,առաջացավ
foe,թշնամի
foes left him broken,թշնամիները նրան կոտրեցին
Marched through tears,Քայլեց արցունքների միջով
wore,կրում էր
wound,վերք
through the land,ցամաքի միջով
complex,բարդ
destruction,կործանում
i was feenin,ես զգում էի
way off,հեռու
հիասթափվել,to be disappointed
toward,դեպի
sudden,հանկարծակի
tounderstorm,անձրև
excited,հուզված
vacation,արձակուրդ
impatient,անհամբեր
frustrat,հիասթափեցնել
dry,չոր
delicious,համեղ
bowl,աման
deffenatly,անպայման
common,տարածված
disoppointing,հիասթափեցնող
complitly,կատարելապես
opposite,հակառակը
honest,ազնիվ
adopt,որդեգրում
հիշատակել,to mention
satisfying,բավարարող
sly,խորամանկ
casual conversation,անփույթ զրույց
pursue,հետապնդել
pressure,ճնշում
lately,վերջերս
inspired,ոգեշնչված
yummy,համեղ
crav,տենչ
prepare,պատրաստել
belly,փորը
starving,սովամահ
shore,ափ
cheap,էժան
breathe,շնչել
breed,ցեղատեսակ
sand,ավազ
descriptions,նկարագրություններ
shinky,փայլուն
assassination,սպանություն
shared a instant,կիսվեց մի ակնթարթում
instant,ակնթարթային
advice,խորհուրդ
kick things off,գործը մի կողմ դնել
i’m totally hooked on this new TV series,Ես լիովին կախված եմ այս նոր հեռուստասերիալից
suddenly,հանկարծակի
to lose track of time,կորցնել ժամանակի զգացողությունը
to unwind,հանգստանալ
expressions,արտահայտություններ
tremble,դողալ
opportunity,հնարավորություն
we need a topic to kick things off,մեզ թեմա է պետք՝ ամեն ինչ սկսելու համար
related,կապված
phrases,արտահայտություններ
Coworker,Գործընկեր
specific,կոնկրետ
pretend,ձևացնել
point out,մատնանշել
since,քանի որ
i have no clue,Я понятия не имею
